taxon	total
Maribacter	238.850391287176
Caldicellulosiruptor	238.801346601452
Candidatus Cloacamonas	237.096078410854
Acidobacterium	234.199493222875
Lyngbya	233.400657560312
Geobacillus	233.223131923375
Rhodomicrobium	230.690596679741
Desulfobacca	224.778795703436
Yersinia	224.579737119037
Thermococcus	224.162542942344
Monodelphis	224.050228565692
Ornithorhynchus	223.349157917333
Simkania	221.217215838108
Thiomonas	220.2559543937
Desulfarculus	219.803415208718
Arabidopsis	218.366637975538
Hylemonella	218.261645190027
Symbiobacterium	217.554606468769
Cellulophaga	217.18155221603
Anabaena	216.759219382307
Porphyromonas	216.550284949629
Labrenzia	216.276197283084
Tannerella	215.820066736279
Myroides	214.479796351133
Sphingopyxis	214.459193905553
Azorhizobium	214.301499848089
Sus	213.769000595398
Chelativorans	213.091791676172
Campylobacter	212.821128043072
Danio	212.345334807477
Caldisericum	212.144147159793
Loxodonta	209.25278047926
Ectothiorhodospira	208.133783006432
Kineococcus	202.564739677215
Trichomonas	201.796352220581
Roseovarius	201.402681181422
Methylotenera	201.36548179145
Chromobacterium	199.778936953392
Collimonas	199.768659133733
Oreochromis	199.282225186369
Staphylococcus	198.693908985662
Enterococcus	198.487588584383
Naegleria	197.895512931797
Zobellia	195.699917992897
Cavia	195.058627641086
Brachypodium	193.347703141069
Methanosphaerula	193.250488324347
Helicobacter	192.442445380655
Schizophyllum	189.500896447992
Stackebrandtia	189.004690203789
Ostreococcus	187.537645437055
Taeniopygia	187.309881901171
Gillisia	187.031758407259
Laribacter	186.895428198148
Alicyclobacillus	186.634948542755
Thermotoga	185.904072810944
Oxalobacter	184.688104540732
Photobacterium	183.464361259024
Physcomitrella	183.165172049459
Verrucosispora	182.603477901849
Alkalilimnicola	182.412298856351
Phaeospirillum	182.313581676768
Crocosphaera	179.949103692746
Pelagibacterium	179.270583689524
T4-like viruses	179.162158987672
Phytophthora	177.032760634227
Acidothermus	176.924095434624
Thermoanaerobacter	175.798114533015
Brevibacillus	175.575786349915
Pelodictyon	175.54198967179
Oryctolagus	175.360398874217
Parabacteroides	175.280646740516
Trichodesmium	174.470917167612
Polaribacter	173.354820475893
Mahella	173.2121035343
Mobilicoccus	171.112778029538
Herbaspirillum	170.389418595031
I3-like viruses	170.24218309472
Methylocella	169.887834025612
Ixodes	168.996245465102
Methanoplanus	168.92112133419
Trypanosoma	166.40241794054
Eubacterium	165.914189177649
Aeromicrobium	164.290071906347
Alcanivorax	164.262959673826
Cellvibrio	163.72266879069
Jannaschia	163.42209421758
Salmonella	163.38090040147
Parachlamydia	163.088192141658
Chaetomium	161.885356632817
Coprinopsis	161.619787073116
Macaca	160.088611474342
Ruminococcus	159.125893855387
Oceanithermus	158.579829842679
Methanobacterium	158.454734626406
Citreicella	158.138733365033
Penicillium	157.956647997324
Limnobacter	157.076722386493
Equus	156.753192207195
Serinicoccus	156.699233056782
Rheinheimera	156.490651933339
Pyrenophora	156.437652775604
Filobasidiella	156.406108794093
Arthroderma	156.076461157782
Muricauda	155.640620226721
Pantoea	155.586938035699
Nocardiopsis	155.322401414513
Selaginella	153.718987974221
Maricaulis	152.782139363309
Listeria	152.656470758785
Gallus	152.279126769126
Arcobacter	151.816614645834
Callithrix	150.884252591143
Selenomonas	150.847427287135
Coxiella	150.486743500421
Dehalogenimonas	149.282107683953
Thermobispora	149.2817692553
Collinsella	148.545327689472
Mus	148.351169647287
Marinomonas	148.21179598542
Xylanimonas	147.307140774491
Methylophaga	147.118481994203
Medicago	147.069168629103
Glaciecola	146.396398982418
Robiginitalea	145.362993681916
Verticilium	145.247577223974
Methanocella	145.113870720891
Sphaerochaeta	143.371474325631
Culex	143.177320486108
Saccoglossus	143.13466058247
Elizabethkingia	142.52850128736
Oligotropha	141.957849670129
Pongo	140.702410619314
Archaeoglobus	140.414998435524
Methanoregula	139.770153120077
Dictyoglomus	139.119089223247
Acetobacter	138.627376737752
Klebsiella	138.057961883154
Glycine	138.001079493549
Thielavia	137.796426939705
Prochlorococcus	137.56916720047
Citromicrobium	136.878709568142
Teredinibacter	136.021713098419
Populus	135.508855685904
Heliobacterium	135.475589684484
Cricetulus	134.367278432267
Methylovorus	133.672024854295
Puccinia	133.148020506903
Nectria	133.099052719292
Rattus	132.924887409028
Marinithermus	132.638008605476
Methanospirillum	131.726434467764
Marinobacterium	131.678331565589
Magnaporthe	131.450989939031
Polynucleobacter	131.430726197801
Desulfurivibrio	131.253016367513
Azotobacter	129.810137651548
Salinisphaera	129.62666791079
Fischerella	129.533305659325
Moorella	129.531561461373
Acetivibrio	128.366632969334
Brachyspira	128.247183791603
Brachybacterium	128.103055699419
Ajellomyces	127.570823669419
Pseudovibrio	127.255498233287
Anolis	127.074241641852
Saccharophagus	127.067681790228
Xylella	126.997886951969
Leeuwenhoekiella	126.784321854076
Lacinutrix	126.752973511886
Mariprofundus	126.653972630192
Myceliophthora	126.51997115982
Methanoculleus	125.993811798996
Congregibacter	125.950346364946
Methylacidiphilum	125.54020548602
Candidatus Protochlamydia	125.153360354325
Hirschia	125.135876279982
Ailuropoda	123.812620945762
Nodularia	123.784970620739
Laccaria	123.585295302542
Amphimedon	123.060196540445
Anopheles	122.823606595196
Zunongwangia	122.177104636965
Hydra	122.169501811759
Tolumonas	121.972645525672
Desulfuromonas	121.556480046736
Enterobacter	121.159871168429
Ochrobactrum	121.080300767062
Clavibacter	120.966559915251
Podospora	120.73523230341
Nomascus	119.644457847345
Methylobacillus	118.550022469808
Gramella	118.486693194842
Octadecabacter	118.040956650453
Beijerinckia	117.876699058162
Bilophila	117.34109868157
Thalassiosira	115.717848266789
Perkinsus	115.397092528958
Amycolicicoccus	115.352662370503
Ciona	114.96066710737
Aurantimonas	114.725835604876
Kangiella	113.821046916207
Segniliparus	113.451266370699
Pusillimonas	111.545510079418
Sordaria	111.306462657332
Citricoccus	111.279552020639
Micrococcus	111.246969182162
Aminomonas	110.708506995011
Serratia	110.610842704064
Haemophilus	109.751267889275
Chlorobaculum	109.616164070412
Croceibacter	109.514777606096
Afipia	109.259652852744
Eggerthella	108.524214677455
Pan	108.110608126487
Thermincola	107.966359855813
Pelotomaculum	107.872437583524
Dethiobacter	107.59852297755
